symbol,model,train_mape,test_mape,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae
ACB,ridge,79578554905050.19,102672917488207.36,0.014862936437960439,-0.03708772882185185,0.018839405005536,0.014224132676488886,0.01278919329599957,0.009189371801842235
BID,ridge,66372432926751.47,96185345839752.64,0.0130864597137339,-0.057469905033336044,0.022788841732091236,0.01619896787010958,0.01617004924960505,0.01143312571499236
FPT,ridge,48607525239564.9,31320791363861.88,0.012042132094105207,-0.006025086097798393,0.015994722932236208,0.01720607827300091,0.011009969854374562,0.012246783244508983
MBB,ridge,85526287575420.28,72112330395915.19,0.010597546774836597,-0.048867279678775466,0.019504341905840043,0.01662695214281196,0.013368212979847251,0.011544250498055103
VCB,ridge,52163487154474.73,103193779213721.11,0.013187065844571966,-0.1433973242281288,0.01801384753053706,0.013665354463468551,0.012811799825703265,0.008687186491213146
