Model,Timestamp,Train_MSE,Train_RMSE,Train_MAE,Train_R2,Train_MAPE,Train_DirectionalAccuracy,Test_MSE,Test_RMSE,Test_MAE,Test_R2,Test_MAPE,Test_DirectionalAccuracy,dataset
XGBoost,20251102_124820,0.00037184819621831084,0.01928336579070964,0.013268675701699966,-2.526305482586366e-07,99.94873433695844,45.976432671971,0.00023222125636783415,0.01523880757696724,0.0103348641865104,-1.1480725703449934e-07,100.04314942015317,46.757954087797025,no_news
CatBoost,20251102_124821,0.00033691164653034214,0.018355153132849154,0.012844159317773758,0.09395356742105498,98.97779390755463,49.783462584348875,0.00022945662743657707,0.015147825831999029,0.010299611309534738,0.011905036736137409,100.70307921875865,46.11357229158276,no_news
RandomForest,20251102_124826,0.0002975872146937875,0.017250716353061617,0.012089397275231806,0.19970758793543752,94.21970529071491,60.378688689696844,0.00023299638198042577,0.015264219009842128,0.010309049612013404,-0.0033379905629282725,100.27660296702135,46.15384615384615,no_news
LightGBM,20251102_124826,0.0003445829810654738,0.018562946454307134,0.012935919233325387,0.07332327648200387,99.42038215671704,49.007956491086716,0.0002313840581844156,0.015211313493068757,0.01030226214489665,0.003605060242734215,100.18815516707078,47.24124043495771,no_news
XGBoost,20251102_124827,0.00037184819621831084,0.01928336579070964,0.013268675701699966,-2.526305482586366e-07,99.94873433695844,45.976432671971,0.00023222125636783415,0.01523880757696724,0.0103348641865104,-1.1480725703449934e-07,100.04314942015317,46.757954087797025,with_news
CatBoost,20251102_124828,0.0003574295303000666,0.018905806787864583,0.013104686059270208,0.03877543515677284,99.59872930108554,47.57780239701883,0.00023032425116792843,0.015176437367443271,0.01032071816200527,0.008168842020238598,100.13185804422604,46.757954087797025,with_news
RandomForest,20251102_124833,0.0002989094090052912,0.017288996761098987,0.012117821619712336,0.19615185024737813,94.508844969875,60.33840265887803,0.0002337081324642556,0.015287515575274342,0.010327903802519987,-0.006402957899150685,100.29026465323012,45.71083366894885,with_news
LightGBM,20251102_124834,0.0003540190180208396,0.018815393113640746,0.013050081630802034,0.04794722400908258,99.40389229448631,48.615167690603286,0.00023100446264069324,0.015198830962962028,0.010305456683935996,0.0052396891877323215,100.03878918261731,47.28151429722111,with_news
