Model,Timestamp,Train_MSE,Train_RMSE,Train_MAE,Train_R2,Train_MAPE,Train_DirectionalAccuracy,Test_MSE,Test_RMSE,Test_MAE,Test_R2,Test_MAPE,Test_DirectionalAccuracy,dataset
XGBoost,20251102_123912,0.00037184819621831084,0.01928336579070964,0.013268675701699966,-2.526305482586366e-07,99.94873433695844,45.976432671971,0.00023222125636783415,0.01523880757696724,0.0103348641865104,-1.1480725703449934e-07,100.04314942015317,46.757954087797025,no_news
CatBoost,20251102_123914,0.00033691164653034214,0.018355153132849154,0.012844159317773758,0.09395356742105498,98.97779390755463,49.783462584348875,0.00022945662743657707,0.015147825831999029,0.010299611309534738,0.011905036736137409,100.70307921875865,46.11357229158276,no_news
RandomForest,20251102_123918,0.0002975872146937875,0.017250716353061617,0.012089397275231806,0.19970758793543752,94.21970529071491,60.378688689696844,0.00023299638198042577,0.015264219009842128,0.010309049612013404,-0.0033379905629282725,100.27660296702135,46.15384615384615,no_news
LightGBM,20251102_123919,0.0003445829810654738,0.018562946454307134,0.012935919233325387,0.07332327648200387,99.42038215671704,49.007956491086716,0.0002313840581844156,0.015211313493068757,0.01030226214489665,0.003605060242734215,100.18815516707078,47.24124043495771,no_news
XGBoost,20251102_123920,0.00037184819621831084,0.01928336579070964,0.013268675701699966,-2.526305482586366e-07,99.94873433695844,45.976432671971,0.00023222125636783415,0.01523880757696724,0.0103348641865104,-1.1480725703449934e-07,100.04314942015317,46.757954087797025,with_news
CatBoost,20251102_123921,0.00035752819671641244,0.01890841602875324,0.01310579705334836,0.0385100945089617,99.52700698111501,47.507301843085905,0.00023152112305565954,0.015215818185548208,0.010320041618570551,0.003014826217116573,100.1054121351971,47.12041884816754,with_news
RandomForest,20251102_123926,0.00029809054630104063,0.017265298905638462,0.012104832154992596,0.19835399327092407,94.34587432015744,60.39883170510626,0.00023260544459766504,0.015251407954600947,0.010304034892579573,-0.0016545209539966521,100.26175574780838,46.91904953685058,with_news
LightGBM,20251102_123926,0.00035566968355969585,0.018859206864544856,0.013072323444714562,0.043508138455751855,99.58547999827988,47.990734212911676,0.0002313888405215336,0.015211470688974606,0.010312181102821975,0.003584466358514393,100.12842298478624,47.03987112364076,with_news
