symbol,model,train_mape,test_mape,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae
ACB,xgboost,0.9398519898762663,18.747919436651948,0.9994825324549715,-2.293095063690763,0.10320162163143083,4.726468605785477,0.06791745274119694,4.06112764473421
BID,xgboost,0.6580286271300912,11.139558757305954,0.9995460513422533,-1.368472756708376,0.1672296595831384,5.033113359386197,0.10993697589126669,4.413159497400563
VCB,xgboost,0.7993188635305323,3.065479477943489,0.9994850265812059,0.12923616694128237,0.3028783050200399,2.5929197460808773,0.22080771314918093,1.9004267623381528
MBB,xgboost,0.8702787835348247,12.04469541512328,0.9994175593502523,-0.17429583563579953,0.08615927752671361,4.016597531667806,0.052583721290281674,2.4361250245547246
FPT,xgboost,0.7022083730123975,29.403753931325593,0.9997949657189767,-2.8229873474222758,0.24871453814819644,36.75969497351921,0.15885751367693574,32.05035118668734
ACB,catboost,1.2340835179783871,17.911371260493556,0.9992093244996968,-2.0684035461000367,0.12756869249321257,4.562373978554554,0.0893884524459903,3.8876567462580516
BID,catboost,0.6845221893199287,10.047996897119331,0.999535444114306,-0.9549655236860104,0.16917217031764487,4.572693229533347,0.12353019871895209,3.9851193576994945
VCB,catboost,0.5816524996943488,2.3507132755572164,0.9997253953032469,0.435317375270838,0.22117179382192703,2.0880509722091896,0.15817047245881122,1.457887142072895
MBB,catboost,0.6054781638976142,10.532079733765126,0.9997839522350039,-0.03144204075499424,0.05247483705971764,3.76436711755949,0.03868579066762166,2.1634126370488307
FPT,catboost,1.8788847061095324,32.354340965169506,0.9989290222976153,-3.304410479613181,0.568431512976289,39.005631069246284,0.39351949424044325,34.7683963589504
ACB,randomforest,2.500128224966984,23.00915608872367,0.9957508501288054,-3.467796419682778,0.2957304117136191,5.505304329569645,0.20433032072726648,4.925442925210304
BID,randomforest,2.182280380046749,19.28148312304792,0.9948693770460179,-4.755948130355439,0.5622053673293052,7.846228488884058,0.4043485627732746,7.475442562573811
VCB,randomforest,6.33333675942046,27.982388501381976,0.9700907086616625,-37.63221242590303,2.308228618819409,17.27084847995201,1.70373540459537,16.857952793955743
MBB,randomforest,2.5457677647469676,19.77393189770146,0.9947313102627278,-0.7361672061699058,0.2591358635414472,4.883883896651302,0.18116891536508536,3.6941501474081364
FPT,randomforest,5.036570987965945,42.65656390314936,0.9921746081718001,-5.664832626204973,1.5365297673476705,48.536124104636095,1.0638962745792617,44.85784150189181
