Model,Timestamp,Train_MSE,Train_RMSE,Train_MAE,Train_R2,Train_MAPE,Train_DirectionalAccuracy,Test_MSE,Test_RMSE,Test_MAE,Test_R2,Test_MAPE,Test_DirectionalAccuracy
XGBoost,20251030_174434,0.00037184819621831084,0.01928336579070964,0.013268675701699966,-2.526305482586366e-07,99.94873433695844,45.976432671971,0.00023222125636783415,0.01523880757696724,0.0103348641865104,-1.1480725703449934e-07,100.04314942015317,46.757954087797025
CatBoost,20251030_174436,0.00033691164653034214,0.018355153132849154,0.012844159317773758,0.09395356742105498,98.97779390755463,49.783462584348875,0.00022945662743657707,0.015147825831999029,0.010299611309534738,0.011905036736137409,100.70307921875865,46.11357229158276
RandomForest,20251030_174442,0.0002975872146937875,0.017250716353061617,0.012089397275231806,0.19970758793543752,94.21970529071491,60.378688689696844,0.00023299638198042577,0.015264219009842128,0.010309049612013404,-0.0033379905629282725,100.27660296702135,46.15384615384615
LightGBM,20251030_174443,0.0003445829810654738,0.018562946454307134,0.012935919233325387,0.07332327648200387,99.42038215671704,49.007956491086716,0.0002313840581844156,0.015211313493068757,0.01030226214489665,0.003605060242734215,100.18815516707078,47.24124043495771
