Model,Train_MAE,Train_RMSE,Train_R2,Train_DirectionalAccuracy,Test_MAE,Test_RMSE,Test_R2,Test_DirectionalAccuracy
XGBoost_Tuned,0.01326755429181632,0.019283363732543638,-3.9165073850710996e-08,45.976432671971,0.010333901237742098,0.015238818141390362,-1.5013236160932308e-06,46.757954087797025
CatBoost_Tuned,0.007954010990859935,0.010615279817594466,0.6969618376012388,73.73350790613354,0.01179200263081966,0.01666961233899637,-0.19660022420362822,46.516310914216675
LightGBM_Tuned,0.008315599214649132,0.011494905055673578,0.6446590921684408,75.6370228623225,0.010731543133069423,0.015608578326753617,-0.049119056382723736,45.71083366894885
