Dataset,Symbol,Model,Window_Size,N_Folds,Validation_Type,Avg_RMSE,Avg_MAE,Avg_MAPE,Avg_R2,Overall_RMSE,Overall_MAE,Overall_MAPE,Overall_R2
raw,MBB,CatBoostRegressor,5,5,WalkForward,2.1083578242469527,1.6271214053282894,10.292959952069573,-19.497603596889427,2.7009386577663976,1.8115317051715316,11.997929835706628,0.4928963314495375
raw,MBB,SVR,5,5,WalkForward,2.2547739018681883,1.787528226457789,11.542234377738263,-28.33647130876961,2.825288515364798,1.9575830273152335,13.349366465257198,0.44512786082304345
raw,FPT,LinearRegression,3,5,WalkForward,15.657984025291052,12.26609002790208,14.935401202746746,-6.973483726048723,22.497487039107856,14.80356352924165,18.100557920556508,0.34184297679595843
raw,FPT,RandomForestRegressor,3,5,WalkForward,10.423413862730785,8.0292137477614,9.105200978320314,-0.5674804080895495,15.04385122737426,9.595269224087343,10.908435321030336,0.7057072526853738
raw,FPT,XGBRegressor,3,5,WalkForward,10.478331438810256,8.06581095782054,9.197956585674492,-0.6394530196175312,15.396517329250148,9.874348569542859,11.274133683564331,0.6917475836059241
raw,FPT,CatBoostRegressor,3,5,WalkForward,10.647778413305677,8.244423515520678,9.331274581190499,-0.5887619988899524,15.320326774052038,9.752455487841273,11.071304777073006,0.6947908448217798
raw,FPT,SVR,3,5,WalkForward,10.514769215299655,8.167042846512617,9.358640208641512,-0.5561635957808797,14.721651067502163,9.5949743259957,11.040325100488573,0.7181782293537351
raw,FPT,LinearRegression,5,5,WalkForward,16.307042733494917,12.872074760603066,15.556627277066019,-7.272469965404762,22.759340025403002,14.788634530528482,18.054466536129773,0.32639311328595055
raw,FPT,RandomForestRegressor,5,5,WalkForward,10.973451245233568,8.516503405481654,9.63895657946259,-2.5260008214078815,14.419111331697769,9.251677576555663,10.562231316916192,0.7296264643810919
raw,FPT,XGBRegressor,5,5,WalkForward,11.693021422366055,9.108848495360345,10.391361992251573,-3.1135730652104763,15.35364941820583,9.919289289267667,11.422086784729975,0.6934435701170859
raw,FPT,CatBoostRegressor,5,5,WalkForward,11.383871677452381,8.850439657897478,9.98619404358377,-2.9247734538668366,15.056628352347024,9.568585259368954,10.889474256310635,0.7051897008279113
raw,FPT,SVR,5,5,WalkForward,11.006190482982948,8.614448869433527,9.850529839304395,-2.0584189428290007,14.529124947886814,9.466778560459653,10.928130229376565,0.7254849827527208
