Dataset,Symbol,Model,Window_Size,Test_Days,Train_Samples,Train_Days,RMSE,MAE,MAPE,R2,split_index
with_indicators,ACB,LinearRegression,14,30,2445,2459,1.1694427010977304,1.0281357364769101,3.8666921575744464,-0.23285849596906938,2459
with_indicators,ACB,RandomForestRegressor,14,30,2445,2459,1.5069742326049278,1.1375042512425815,4.135050402378101,-1.047231663890471,2459
with_indicators,ACB,XGBRegressor,14,30,2445,2459,1.388033306207128,1.0214713287353514,3.7174241582181313,-0.7368211999942527,2459
with_indicators,ACB,CatBoostRegressor,14,30,2445,2459,1.1205975816126634,0.8652472794265691,3.177740663567049,-0.13202156128504283,2459
with_indicators,ACB,SVR,14,30,2445,2459,4.704786654875994,3.873583226318382,14.88199585247641,-18.954240675817665,2459
with_indicators,ACB,LinearRegression,30,30,2429,2459,1.2787207288406712,1.1228132921290155,4.234020334142398,-0.4740314436978006,2459
with_indicators,ACB,RandomForestRegressor,30,30,2429,2459,1.451687317545239,1.0816162094972923,3.9306016323518094,-0.8997720873527812,2459
with_indicators,ACB,XGBRegressor,30,30,2429,2459,1.2475775399531452,1.0272619247436523,3.824445888114413,-0.4031058399535119,2459
with_indicators,ACB,CatBoostRegressor,30,30,2429,2459,1.0597198851612746,0.9194545087843599,3.4417536373097324,-0.01236589156777379,2459
with_indicators,ACB,SVR,30,30,2429,2459,3.643765924142884,2.5659973680608514,9.857137567954686,-10.968956187097204,2459
with_indicators,BID,LinearRegression,14,30,2450,2464,1.0827430493002295,0.7781907462301317,1.8669662652480874,-0.11283022078917426,2464
with_indicators,BID,RandomForestRegressor,14,30,2450,2464,1.127555279856671,0.8259286016482027,1.982541347692291,-0.2068513708983022,2464
with_indicators,BID,XGBRegressor,14,30,2450,2464,1.8353617651070095,1.5173828837076833,3.6508647343768414,-2.1975803207845757,2464
with_indicators,BID,CatBoostRegressor,14,30,2450,2464,1.26265126227578,1.005661108087001,2.4210371190929894,-0.5133693593927917,2464
with_indicators,BID,SVR,14,30,2450,2464,1.4882185154467311,1.1316054981642514,2.710845448242204,-1.102381416942182,2464
with_indicators,BID,LinearRegression,30,30,2434,2464,1.0663638223498797,0.7852014437277023,1.8871266984852086,-0.07941614021035637,2464
with_indicators,BID,RandomForestRegressor,30,30,2434,2464,1.0999591054879656,0.8112647394386004,1.9460578815679208,-0.14850047881085304,2464
with_indicators,BID,XGBRegressor,30,30,2434,2464,1.3327343941730416,0.9800640411376959,2.356899278380144,-0.6860300620158362,2464
with_indicators,BID,CatBoostRegressor,30,30,2434,2464,2.2519117489802474,1.9709050641106116,4.859394519813834,-3.8137201195496937,2464
with_indicators,BID,SVR,30,30,2434,2464,1.2370304014523985,0.867362774579855,2.0754447056395056,-0.45257594663487777,2464
with_indicators,VCB,LinearRegression,14,30,2450,2464,2.1789056498780908,1.7449218538367157,2.6807904991145497,-0.05003545312360935,2464
with_indicators,VCB,RandomForestRegressor,14,30,2450,2464,2.8294570564503116,2.0746284830619612,3.1355273688669216,-0.770652457480671,2464
with_indicators,VCB,XGBRegressor,14,30,2450,2464,2.5312702049780413,2.3565112406412756,3.6690408085209834,-0.4171118415616972,2464
with_indicators,VCB,CatBoostRegressor,14,30,2450,2464,2.8329349218398128,2.0925344597221214,3.162237297035543,-0.7750079754660011,2464
with_indicators,VCB,SVR,14,30,2450,2464,2.950538830606781,2.233259295555389,3.3814666479701847,-0.9254390778672819,2464
with_indicators,VCB,LinearRegression,30,30,2434,2464,2.180397137571705,1.777560792094853,2.735867887946057,-0.05147346946795772,2464
with_indicators,VCB,RandomForestRegressor,30,30,2434,2464,2.738640226500884,2.013826313032755,3.042468533470434,-0.6588116573314542,2464
with_indicators,VCB,XGBRegressor,30,30,2434,2464,1.9890080917064081,1.4627241312662764,2.2170139653868417,0.12501579648882344,2464
with_indicators,VCB,CatBoostRegressor,30,30,2434,2464,1.9354413847579772,1.3298712767384708,2.008846446921859,0.1715102131968952,2464
with_indicators,VCB,SVR,30,30,2434,2464,2.937563952943614,2.1822957392723015,3.29950165612292,-0.9085422271585564,2464
with_indicators,MBB,LinearRegression,14,30,2450,2464,1.8887510462781125,1.637366325305042,6.145007879778727,-6.856272353375865,2464
with_indicators,MBB,RandomForestRegressor,14,30,2450,2464,0.9768906518547427,0.740565039361871,2.6856367363021083,-1.1016432745366167,2464
with_indicators,MBB,XGBRegressor,14,30,2450,2464,0.7916727031804836,0.6454001871744791,2.3716485360135717,-0.3802521629544062,2464
with_indicators,MBB,CatBoostRegressor,14,30,2450,2464,0.7915752391696894,0.6973828484604482,2.60074655751955,-0.379912334056967,2464
with_indicators,MBB,SVR,14,30,2450,2464,9.11543789493404,8.47084286143211,31.481049907030105,-181.98781350533628,2464
with_indicators,MBB,LinearRegression,30,30,2434,2464,2.613412239719937,2.195593498764111,8.245898181374242,-14.041215597443378,2464
with_indicators,MBB,RandomForestRegressor,30,30,2434,2464,1.0578290606672263,0.8140727343644029,2.9540065514723306,-1.464325564927651,2464
with_indicators,MBB,XGBRegressor,30,30,2434,2464,0.7098617512152071,0.5411694590250652,1.9728904402986536,-0.10972315302470448,2464
with_indicators,MBB,CatBoostRegressor,30,30,2434,2464,0.8115437427777918,0.7146017522195438,2.6670100693052317,-0.4504105898919255,2464
with_indicators,MBB,SVR,30,30,2434,2464,7.318940451317651,6.399865652895244,23.885776347266077,-116.96781138182882,2464
with_indicators,FPT,LinearRegression,14,30,2450,2464,3.3561644048346913,2.6588423869100186,2.677278250908173,-0.13074990223936434,2464
with_indicators,FPT,RandomForestRegressor,14,30,2450,2464,3.3721902669871024,2.5720038165701165,2.597184054726897,-0.14157446552927055,2464
with_indicators,FPT,XGBRegressor,14,30,2450,2464,3.2757514888568036,2.6621863301595052,2.670753208532751,-0.07721402471462713,2464
with_indicators,FPT,CatBoostRegressor,14,30,2450,2464,3.4304367163006537,2.926485087179103,2.903275631504522,-0.18135093367047816,2464
with_indicators,FPT,SVR,14,30,2450,2464,4.774464448850396,3.338790601670546,3.4069328600484736,-1.2883867930066297,2464
with_indicators,FPT,LinearRegression,30,30,2434,2464,3.2937667994063347,2.630429413643734,2.647629472850484,-0.08909509004035665,2464
with_indicators,FPT,RandomForestRegressor,30,30,2434,2464,4.398562271189199,3.30173605808086,3.3436644074577493,-0.9422341873540818,2464
with_indicators,FPT,XGBRegressor,30,30,2434,2464,4.538931606365948,3.398447265625,3.437571948676944,-1.0681754680060234,2464
with_indicators,FPT,CatBoostRegressor,30,30,2434,2464,3.6187790452178046,3.01765150246714,3.021700645797527,-0.3146321184904761,2464
with_indicators,FPT,SVR,30,30,2434,2464,5.680664633929764,3.8522036389069867,3.939431826625947,-2.239503149924692,2464
