date,ticker,article_count,avg_prob_pos,avg_prob_neg,avg_prob_neu,pos_count,neg_count,pos_ratio
2002-01-18,BID,2,0.015771472826600075,0.9403890371322632,0.04383951798081398,0,2,0.0
2006-04-27,FPT,2,0.16730563342571259,0.4980405271053314,0.3346537947654724,0,2,0.0
2006-12-05,FPT,2,0.1424327939748764,0.04327259957790375,0.8142945766448975,0,0,0.0
2006-12-12,BID,1,0.3719800114631653,0.026229821145534515,0.6017901301383972,0,0,0.0
2006-12-12,FPT,1,0.3719800114631653,0.026229821145534515,0.6017901301383972,0,0,0.0
2006-12-13,FPT,2,0.1743449866771698,0.03937001898884773,0.7862849831581116,0,0,0.0
2006-12-15,FPT,2,0.6706478595733643,0.024350587278604507,0.30500155687332153,2,0,0.9999999995
2006-12-21,FPT,1,0.004880271852016449,0.9831587076187134,0.011961012147367,0,1,0.0
2007-02-07,BID,2,0.08664105087518692,0.036934830248355865,0.8764241933822632,0,0,0.0
2007-02-12,FPT,2,0.6798590421676636,0.015595664270222187,0.30454525351524353,2,0,0.9999999995
2007-04-23,BID,2,0.026681018993258476,0.843987762928009,0.12933127582073212,0,2,0.0
2007-04-25,FPT,2,0.2576887607574463,0.03836080804467201,0.7039504647254944,0,0,0.0
2007-05-11,FPT,2,0.17389561235904694,0.04298705235123634,0.7831173539161682,0,0,0.0
2007-05-28,FPT,2,0.07663235813379288,0.051637813448905945,0.8717297911643982,0,0,0.0
2007-05-31,FPT,2,0.77717125415802,0.018208513036370277,0.20462025701999664,2,0,0.9999999995
2007-06-01,FPT,2,0.0894433930516243,0.057248372584581375,0.8533082604408264,0,0,0.0
2007-06-04,FPT,2,0.0740295946598053,0.0829780325293541,0.84299236536026,0,0,0.0
2007-06-08,FPT,2,0.0755666047334671,0.1322510838508606,0.7921822667121887,0,0,0.0
2007-06-20,BID,2,0.03143617883324623,0.5105467438697815,0.4580170810222626,0,2,0.0
2007-06-25,FPT,2,0.07509942352771759,0.24781344830989838,0.677087128162384,0,0,0.0
2007-06-26,FPT,1,0.08030921220779419,0.17758403718471527,0.7421067357063293,0,0,0.0
2007-06-27,FPT,2,0.09136731177568436,0.253268837928772,0.655363917350769,0,0,0.0
2007-07-10,FPT,2,0.08679663389921188,0.048622019588947296,0.864581286907196,0,0,0.0
2007-07-12,FPT,2,0.007363278418779373,0.9719898700714111,0.020646827295422554,0,2,0.0
2007-07-13,BID,1,0.9609062671661377,0.005485426168888807,0.0336083360016346,1,0,0.9999999989999999
2007-09-26,FPT,1,0.06922592967748642,0.05937301740050316,0.8714010119438171,0,0,0.0
2007-09-27,FPT,1,0.14604704082012177,0.4770006537437439,0.3769523501396179,0,1,0.0
2007-09-28,FPT,1,0.5403665900230408,0.027551833540201187,0.4320816099643707,1,0,0.9999999989999999
2007-10-30,FPT,1,0.1056080162525177,0.3539787530899048,0.5404132604598999,0,0,0.0
2007-11-12,FPT,1,0.004358049016445875,0.9855519533157349,0.010090034455060959,0,1,0.0
2007-11-27,FPT,1,0.07398901134729385,0.24920207262039185,0.6768088936805725,0,0,0.0
2007-11-29,FPT,1,0.024851901456713676,0.8654553890228271,0.10969279706478119,0,1,0.0
2007-12-06,FPT,1,0.04347491264343262,0.111101895570755,0.8454232215881348,0,0,0.0
2007-12-26,FPT,1,0.11597105115652084,0.03215362876653671,0.8518753051757812,0,0,0.0
2008-01-11,FPT,1,0.8132184743881226,0.01057548075914383,0.17620612680912018,1,0,0.9999999989999999
2008-01-24,FPT,1,0.00852457620203495,0.9650158882141113,0.026459475979208946,0,1,0.0
2008-01-31,FPT,1,0.1344885528087616,0.04085109755396843,0.8246603012084961,0,0,0.0
2008-02-15,FPT,1,0.00452286284416914,0.9834623336791992,0.012014713138341904,0,1,0.0
2008-02-19,FPT,1,0.006626431830227375,0.97557133436203,0.017802249640226364,0,1,0.0
2008-05-14,FPT,1,0.005462178494781256,0.9808874130249023,0.013650349341332912,0,1,0.0
2008-07-29,FPT,1,0.0162523053586483,0.9140449166297913,0.06970274448394775,0,1,0.0
2008-10-24,FPT,1,0.012765324674546719,0.9455683827400208,0.04166619852185249,0,1,0.0
2008-11-19,FPT,1,0.059764567762613297,0.2911100685596466,0.649125337600708,0,0,0.0
2008-11-21,FPT,1,0.005894617643207312,0.9785348176956177,0.015570594929158688,0,1,0.0
2008-12-18,FPT,1,0.07080299407243729,0.04714979603886604,0.8820472359657288,0,0,0.0
2008-12-25,FPT,1,0.23670034110546112,0.03693413361907005,0.7263655066490173,0,0,0.0
2009-02-10,FPT,1,0.005494177807122469,0.9820349216461182,0.01247086375951767,0,1,0.0
2009-03-23,FPT,1,0.5510733127593994,0.19996827840805054,0.24895839393138885,1,0,0.9999999989999999
2009-05-13,FPT,1,0.012277700006961823,0.940759539604187,0.04696279391646385,0,1,0.0
2009-05-18,FPT,1,0.33069753646850586,0.028039082884788513,0.6412633061408997,0,0,0.0
2009-08-25,FPT,1,0.060446690768003464,0.16690710186958313,0.7726462483406067,0,0,0.0
2009-10-06,FPT,1,0.08111052215099335,0.047642383724451065,0.8712470531463623,0,0,0.0
2010-05-11,FPT,1,0.0506199486553669,0.4904540181159973,0.4589259922504425,0,1,0.0
2010-05-24,FPT,1,0.1298680454492569,0.028682401403784752,0.841449499130249,0,0,0.0
2010-08-03,BID,1,0.06985288113355637,0.19519004225730896,0.7349570393562317,0,0,0.0
2011-04-16,FPT,2,0.0038780488539487123,0.9869842529296875,0.009137814864516258,0,2,0.0
2011-09-15,FPT,2,0.020138390362262726,0.9118276238441467,0.06803397089242935,0,2,0.0
2011-11-02,FPT,2,0.17238201200962067,0.07810450345277786,0.749513566493988,0,0,0.0
2011-11-08,FPT,2,0.036188993602991104,0.6606884002685547,0.3031226098537445,0,2,0.0
2011-11-29,FPT,2,0.7245703935623169,0.012563406489789486,0.26286613941192627,2,0,0.9999999995
2011-12-04,BID,2,0.07371494174003601,0.13348250091075897,0.7928025126457214,0,0,0.0
2012-01-12,FPT,2,0.5755366086959839,0.018324613571166992,0.4061388075351715,2,0,0.9999999995
2012-02-13,FPT,2,0.011095579713582993,0.9507874250411987,0.03811707720160484,0,2,0.0
2012-02-20,BID,2,0.003979184664785862,0.9874119758605957,0.008608870208263397,0,2,0.0
2012-03-22,FPT,2,0.23021022975444794,0.03106754459440708,0.7387222647666931,0,0,0.0
2012-04-24,FPT,2,0.05816446617245674,0.45939671993255615,0.48243874311447144,0,0,0.0
2012-05-02,FPT,2,0.3164733052253723,0.02668244205415249,0.6568442583084106,0,0,0.0
2012-05-21,FPT,1,0.6607954502105713,0.01612594537436962,0.32307863235473633,1,0,0.9999999989999999
2012-06-13,BID,1,0.2944013178348541,0.49564456939697266,0.20995409786701202,0,1,0.0
2012-07-09,FPT,1,0.8835964202880859,0.04405370354652405,0.07234987616539001,1,0,0.9999999989999999
2012-07-13,BID,1,0.07320953160524368,0.4055140018463135,0.5212764739990234,0,0,0.0
2012-08-15,FPT,1,0.01931769773364067,0.8434329628944397,0.13724930584430695,0,1,0.0
2012-08-21,FPT,1,0.008083824999630451,0.9657179117202759,0.026198355481028557,0,1,0.0
2012-08-23,FPT,1,0.005142061039805412,0.9825834631919861,0.012274465523660183,0,1,0.0
2012-08-28,FPT,1,0.14886009693145752,0.03627161681652069,0.8148683309555054,0,0,0.0
