Model,Timestamp,Train_MSE,Train_RMSE,Train_MAE,Train_R2,Train_MAPE,Train_DirectionalAccuracy,Test_MSE,Test_RMSE,Test_MAE,Test_R2,Test_MAPE,Test_DirectionalAccuracy
XGBoost,20251102_101841,0.00037184819621831084,0.01928336579070964,0.013268675701699966,-2.526305482586366e-07,99.94873433695844,45.976432671971,0.00023222125636783415,0.01523880757696724,0.0103348641865104,-1.1480725703449934e-07,100.04314942015317,46.757954087797025
CatBoost,20251102_101842,0.00036100346559395216,0.01900009119962197,0.013147665108132612,0.029164157670105828,99.69925732912834,47.37637224292477,0.00023090673732275652,0.015195615727003514,0.010321921601843908,0.005660517714305646,100.25678144493635,46.95932339911397
RandomForest,20251102_101847,0.00030094606190969917,0.01734779703333248,0.012169176521634009,0.19067474039545085,94.80350244087992,58.87803404169604,0.00023208951552883104,0.01523448441952766,0.01028495977965187,0.0005671926657471182,100.11424389579422,47.08014498590415
LightGBM,20251102_101847,0.00033605728475170606,0.018331865282935778,0.01281302498239659,0.09625117704552766,98.76849803688066,50.68989827777218,0.0002296588291125099,0.015154498642730148,0.010292915572972298,0.01103430809436845,100.06001166061043,47.60370519532823
