Model,Data,Features,MAE,RMSE,R2,MAPE
Linear Regression,Without Indicators,5,0.8056901615242983,1.177451532681461,0.9982831204909939,1.619076774824599
Linear Regression,With Indicators,63,0.9921729502741858,1.331163080478517,0.9978055976143223,2.2512375103135622
Random Forest,Without Indicators,5,1.5623798600761645,1.9808177385760544,0.9951410461774478,4.003862083372986
Random Forest,With Indicators,63,1.7271761672935382,2.0944142346185766,0.9945677606091486,4.706467240147358
XGBoost,Without Indicators,5,2.138238640039997,4.538592317179737,0.974490844223117,4.724089460311314
XGBoost,With Indicators,63,2.2302184958536118,2.766921172726984,0.9905191492051765,5.3796735222134595
