source,date,title,description,url,matched_tickers,macro_hits
VnExpress,2025-04-28 15:30,Tiền vào chứng khoán thấp nhất 2 tháng,"Sức mua kém khiến thanh khoản đạt 14.000 tỷ đồng, thấp nhất 2 tháng qua, nếu không tính phiên ""không ai bán"" khi thị trường hồi phục sau biến động thuế quan.",https://vnexpress.net/tien-vao-chung-khoan-thap-nhat-2-thang-4879691.html,,thuế
VnExpress,2025-04-22 17:43,Vì sao chứng khoán 'rơi' đột ngột?,"Chứng khoán rơi gần 70 điểm trước tin đàm phán thương mại của Mỹ với một số đối tác bị hủy, nước này đánh thuế mạnh pin mặt trời, nhưng sau đó phục hồi khi lực mua sẵn sàng ""bắt đáy"".",https://vnexpress.net/vi-sao-chung-khoan-roi-dot-ngot-4877341.html,,thuế
VnExpress,2025-04-16 15:45,Chứng khoán giảm sâu,"FPT giảm hết biên độ và không có bên mua, trở thành tác nhân chính khiến VN-Index mất 17 điểm, nối mạch giảm 2 phiên liên tiếp.",https://vnexpress.net/chung-khoan-giam-sau-4874840.html,FPT,
VnExpress,2025-04-15 15:30,Chứng khoán đứt mạch tăng mạnh,"Nhà đầu tư chốt lời ngắn hạn khiến VN-Index mất gần 14 điểm, đứt mạch hồi phục hơn 13% tính từ vùng đáy của đợt điều chỉnh mạnh vì thông tin thuế quan.",https://vnexpress.net/chung-khoan-dut-mach-tang-manh-4874346.html,,thuế
VnExpress,2025-04-11 11:29,Một tuần thị trường tài chính chao đảo vì bão thuế,"Ông Trump nói không muốn thấy chứng khoán đi xuống, đòn thuế là để trị bệnh, nhưng ""đơn thuốc"" đắt đỏ này đã thổi bay hàng chục nghìn tỷ USD của tài chính toàn cầu.",https://vnexpress.net/mot-tuan-thi-truong-tai-chinh-chao-dao-vi-bao-thue-4872532.html,,thuế
VnExpress,2025-04-10 04:02,Chứng khoán Mỹ bùng nổ sau tin hoãn áp thuế,"Thị trường chứng khoán Mỹ phục hồi mạnh sau thông báo của Trump, trong đó chỉ số Nasdaq tăng mạnh nhất 24 năm.",https://vnexpress.net/chung-khoan-my-bung-no-sau-tin-hoan-ap-thue-4872037.html,,thuế
VnExpress,2025-04-09 21:41,Chứng khoán Mỹ tăng vọt sau tin hoãn thuế,"Sau vài phiên giảm liên tục, ba chỉ số chính của chứng khoán Mỹ cùng tăng dựng đứng ngay sau khi ông Trump thông báo hoãn thuế 90 ngày cho các nền kinh tế, ngoại trừ Trung Quốc.",https://vnexpress.net/chung-khoan-my-quay-dau-tang-4872005.html,,thuế
VnExpress,2025-04-09 09:20,Vốn hóa chứng khoán mất 36 tỷ USD từ khi ông Trump công bố thuế,"Giảm thêm 38 điểm trong phiên 9/4, VN-Index nối dài diễn biến bi quan, khiến vốn hóa sàn TP HCM mất hơn 933.000 tỷ đồng (tương đương 36 tỷ USD) từ khi ông Trump công bố thuế nhập khẩu đối ứng cách đây một tuần.",https://vnexpress.net/vn-index-tiep-tuc-giam-sau-4871650-tong-thuat.html,,thuế
VnExpress,2025-04-09 07:04,Nhà đầu tư chứng khoán có nên 'cắt lỗ' thời điểm này?,"Chứng khoán Việt Nam giảm sâu 3 phiên, nhưng chuyên gia vẫn khuyên nhà đầu tư nên đợi mức thuế đối ứng cuối cùng của Mỹ áp với Việt Nam để đưa ra quyết định mua bán.",https://vnexpress.net/nha-dau-tu-chung-khoan-co-nen-cat-lo-thoi-diem-nay-4871562.html,,thuế
VnExpress,2025-04-08 02:39,Chứng khoán tuần này được dự báo thế nào,"Dòng tiền “bắt đáy” đang mạnh dần, nhưng chuyên gia cho rằng diễn biến VN-Index tuần này phụ thuộc nhiều vào kết quả đàm phán thuế quan giữa Việt Nam và Mỹ.",https://vnexpress.net/chung-khoan-tuan-nay-duoc-du-bao-the-nao-4871057.html,,thuế
VnExpress,2025-04-04 00:27,VinaCapital: 'Nhiều cổ phiếu tốt bị bán tháo quá mức',"Đại diện VinaCapital cho rằng cổ phiếu của nhiều doanh nghiệp có nền tảng tốt bị bán quá mức do thông tin thuế quan, nên họ đang tìm cơ hội mua vào.",https://vnexpress.net/vinacapital-nhieu-co-phieu-tot-bi-ban-thao-qua-muc-4869769.html,,thuế
VnExpress,2025-04-04 00:03,Vì sao thanh khoản đột biến trong phiên chứng khoán giảm 88 điểm?,"Mức thuế 46% của Mỹ cao hơn dự đoán khiến nhà đầu tư hoảng loạn bán tháo, nhưng vẫn có nhóm lạc quan ""bắt đáy"", đưa thanh khoản lên 1,5 tỷ USD.",https://vnexpress.net/vi-sao-thanh-khoan-dot-bien-trong-phien-chung-khoan-giam-88-diem-4869706.html,,thuế
VnExpress,2025-03-26 05:00,'Cá mập' PYN Elite Fund: Cổ phiếu công nghệ đang được định giá cao,Quỹ ngoại PYN Elite Fund chốt lời cổ phiếu công nghệ như FPT và CMG vì có giá cao và cảnh báo thị trường về rủi ro bong bóng dotcom.,https://vnexpress.net/ca-map-pyn-elite-fund-co-phieu-cong-nghe-dang-duoc-dinh-gia-cao-4865715.html,FPT,
VnExpress,2025-03-14 17:05,Vị trí doanh nghiệp tư nhân lớn nhất sàn chứng khoán đổi chủ,"Vốn hóa của FPT giảm 30.000 tỷ đồng từ đầu năm, từ đó mất vị trí doanh nghiệp tư nhân có vốn hóa lớn nhất trên sàn vào tay Tập đoàn Vingroup.",https://vnexpress.net/vi-tri-doanh-nghiep-tu-nhan-lon-nhat-san-chung-khoan-doi-chu-4861440.html,FPT,
VnExpress,2025-03-14 16:47,Vì sao cổ phiếu của Ngân hàng Quốc dân vào diện bị kiểm soát,"Lỗ sau thuế 2 năm liên tiếp khiến cổ phiếu NVB bị Sở Giao dịch chứng khoán Hà Nội đưa vào diện kiểm soát, đồng thời duy trì cảnh báo.",https://vnexpress.net/vi-sao-co-phieu-cua-ngan-hang-quoc-dan-vao-dien-bi-kiem-soat-4861449.html,,thuế
VnExpress,2025-03-12 16:21,Cổ phiếu họ Vin cùng Vietcombank 'gánh' thị trường,"Chứng khoán giữ vững đà tăng ở phiên thứ 5 liên tiếp nhưng ""xanh vỏ, đỏ lòng"", chỉ số chủ yếu được hỗ trợ bởi VCB, VHM và VIC.",https://vnexpress.net/co-phieu-ho-vin-cung-vietcombank-ganh-thi-truong-4860467.html,VCB,
