iter	RMSE
171	0.8020793715
172	0.801292793
173	0.8003670526
174	0.8000003402
175	0.7994568737
176	0.7973482206
177	0.7943127262
178	0.7921208892
179	0.7914048919
180	0.7901943729
181	0.7885364299
182	0.7865319798
183	0.7843615131
184	0.7823687317
185	0.780665564
186	0.7800375579
187	0.7791579745
188	0.7764081356
189	0.775951852
190	0.7742712305
191	0.7737640184
192	0.7727687091
193	0.7702306167
194	0.7691038206
195	0.7673521438
196	0.766382989
197	0.7637921002
198	0.762237613
199	0.7605053842
200	0.7599829619
201	0.7584706248
202	0.7561796981
203	0.7533063529
204	0.7516930207
205	0.7492185387
206	0.7483935261
207	0.7478763693
208	0.7452694416
209	0.7435223567
210	0.7421668835
211	0.7403440018
212	0.7389172265
213	0.736701518
214	0.735541441
215	0.7348183715
216	0.733838375
217	0.7313189795
218	0.7289387041
219	0.7267938777
220	0.7264458277
221	0.7250643036
222	0.723740711
223	0.7233241868
224	0.7210499306
225	0.7194311415
226	0.7181119841
227	0.7161418049
228	0.7151688369
229	0.713039182
230	0.7125685756
231	0.7114342255
232	0.7106844678
233	0.7090235455
234	0.7069185439
235	0.7056331844
236	0.7051229203
237	0.7040532944
238	0.7022039426
239	0.7002098629
240	0.699577989
241	0.6993163752
242	0.6973050577
243	0.6969662161
244	0.6949108845
245	0.6936794946
246	0.6933490736
247	0.691927001
248	0.6912430501
249	0.689616627
250	0.6886448237
251	0.6883790083
252	0.6880439253
253	0.6877248468
254	0.6859946391
255	0.685638381
256	0.6843708431
257	0.6840088368
258	0.6822361686
259	0.6803468347
260	0.6785920501
261	0.6770425774
262	0.6767460866
263	0.6754187296
264	0.6739657977
265	0.6736292235
266	0.6730960314
267	0.6727603169
268	0.6716732055
269	0.669918882
270	0.6696614541
271	0.6683406689
272	0.6667078591
273	0.6657277859
274	0.6651116797
275	0.6646445089
276	0.6628621762
277	0.661475764
278	0.6604264796
279	0.6600973004
280	0.6584818382
281	0.6581564859
282	0.6575249068
283	0.6564558097
284	0.6549692495
285	0.6546955062
286	0.6531483255
287	0.6518393249
288	0.6502368559
289	0.649943229
290	0.6484631698
291	0.6480026054
292	0.6466418911
293	0.6452520594
294	0.6443029779
295	0.6428758757
296	0.6426137293
297	0.6413768967
298	0.6400753368
299	0.6387775136
300	0.6377952793
301	0.6373923974
302	0.6363050797
303	0.6351956131
304	0.6350129523
305	0.6342353523
306	0.632840326
307	0.6316792838
308	0.6305246356
309	0.6292653691
310	0.6288037134
311	0.6279179842
312	0.6275800767
313	0.626927221
314	0.6267410462
315	0.6256007921
316	0.6242819186
317	0.6232739219
318	0.6222913607
319	0.6213493671
320	0.6204960574
321	0.6192197706
322	0.6185736044
323	0.6176231511
324	0.6164646821
325	0.6160023572
326	0.6158256092
327	0.6153170536
328	0.6145232966
329	0.6132014023
330	0.6120812531
331	0.6112343025
332	0.6109548475
333	0.6099404095
334	0.6093928689
335	0.6092215052
336	0.6083685868
337	0.6073218326
338	0.6070353243
339	0.6062203275
340	0.6050510052
341	0.6044424427
342	0.6041785641
343	0.6038137395
344	0.6031649008
345	0.6021177664
346	0.6012543629
347	0.6001771418
348	0.5991368607
349	0.5983928004
350	0.597244133
351	0.597052594
352	0.5964929216
353	0.5953716335
354	0.5943845527
355	0.5941905443
356	0.5932528168
357	0.5926423334
358	0.5924521051
359	0.5913644324
360	0.5912294069
361	0.5903709831
362	0.5892320089
363	0.5881178808
364	0.5872452776
365	0.585876134
366	0.5855333352
367	0.5852584346
368	0.5848101917
369	0.5844523556
370	0.5836631569
371	0.5830911254
372	0.5824737115
373	0.5814565562
374	0.5808068528
375	0.580426188
376	0.5794893083
377	0.578759937
378	0.5778765015
379	0.5774923326
380	0.5772748206
381	0.5766248678
382	0.5755180215
383	0.5744463312
384	0.5734236855
385	0.572860613
386	0.5714757167
387	0.5705635284
388	0.5701617053
389	0.5692496059
390	0.5687229138
391	0.5682867239
392	0.5681703569
393	0.5677348053
394	0.5668698728
395	0.5659361247
396	0.5657219836
397	0.564791214
398	0.564532751
399	0.5636751926
400	0.5634754699
401	0.5629306679
402	0.5625921315
403	0.5624077471
404	0.5617440533
405	0.5606879165
406	0.5598874669
407	0.559604295
408	0.5594465288
409	0.5588776629
410	0.5581953264
411	0.5581079724
412	0.5572465965
413	0.5567449844
414	0.5559726702
415	0.5556837756
416	0.5549624146
417	0.5540773711
418	0.5536936677
419	0.5527060356
420	0.5520418314
421	0.5514069309
422	0.5511115415
423	0.5503545255
424	0.5499771795
425	0.5492568614
426	0.5487998982
427	0.5487054475
428	0.5478808332
429	0.5470438627
430	0.5463254312
431	0.5459840492
432	0.5457787061
433	0.5451505351
434	0.5449264387
435	0.5441387128
436	0.5439392343
437	0.5431815267
438	0.5427433387
439	0.5425794069
440	0.5417611957
441	0.5416268565
442	0.5406655548
443	0.5405238034
444	0.5399272076
445	0.5394358589
446	0.5390354817
447	0.5389201043
448	0.5386543544
449	0.5379972886
450	0.537441703
451	0.5369873582
452	0.5361109085
453	0.5356842113
454	0.5353895116
455	0.5349186445
456	0.5346138629
457	0.5339331398
458	0.5337721243
459	0.5333923887
460	0.5326520218
461	0.5316167589
462	0.5311756538
463	0.5304643631
464	0.529772461
465	0.529548523
466	0.5293318421
467	0.5282820099
468	0.5281747233
469	0.5281215688
470	0.5271660978
471	0.5267257716
472	0.5264876737
473	0.5263653983
474	0.5255358176
475	0.5251692182
476	0.5241624805
477	0.5240194836
478	0.5236673228
479	0.5230193736
480	0.5226593633
481	0.5221403507
482	0.521820964
483	0.5216739171
484	0.5209268438
485	0.5200756916
486	0.519312479
487	0.5182720941
488	0.5178228656
489	0.5174847328
490	0.5165463149
491	0.5162924017
492	0.5160118143
493	0.5159145469
494	0.5152138316
495	0.5151205601
496	0.5143239954
497	0.5137580316
498	0.5133980858
499	0.5126820549
